iter	Logloss
0	0.6919312957
1	0.6902655332
2	0.688560892
3	0.6868608128
4	0.6848083364
5	0.6823016943
6	0.679738853
7	0.6774639129
8	0.6759044023
9	0.6736640348
10	0.671403897
11	0.6699886901
12	0.6694153613
13	0.6679473212
14	0.6657280751
15	0.6635076141
16	0.6617475291
17	0.6605471015
18	0.658700027
19	0.6569085753
20	0.655549155
21	0.6540431928
22	0.65262724
23	0.6511387551
24	0.648948936
25	0.6469744912
26	0.6460752312
27	0.6439523556
28	0.6430987279
29	0.6412460067
30	0.6387341447
31	0.6381716174
32	0.6367114988
33	0.6346793619
34	0.6330075709
35	0.6313251307
36	0.629410606
37	0.6280950933
38	0.6276529707
39	0.6257278134
